uiTimeStamp,uiCycleCounter,eSigStatus,f_VrelRad,f_RangeRad,a_AzAng,f_RcsRaw,f_AzAngVar,f_VrelRadVar,f_RangeRadVar,a_Pdh0
400,8,1,8.65320946284888,93.75,48.3070179842792,3.81176684484946,0,0,0,14.3332430545452
450,9,1,0,0,3.41184514120904,65536,0,0,0,24.4907147654228
450,9,1,0,4.5,8.73358312896651,-13.2199384579584,0,0,0,26.860786098362
450,9,1,0,5.25,6.80309029709615,-22.8069995120045,0,0,0,16.1560316442221
450,9,1,0,6,-50.300335482483,-23.5721158752855,0,0,0,12.4405544078316
450,9,1,0,34.125,15.8439471436774,-6.38746363857965,0,0,0,13.8481668472227
450,9,1,0,69,-7.12405898872928,6.19373325742666,0,0,0,17.1561977868507
450,9,1,0,75,-12.3428162007633,3.38050002618043,0,0,0,16.0134337242857
450,9,1,-8.46509621365652,89.25,43.1852309406169,-0.537707640328236,0,0,0,13.2768061904846
450,9,1,0,91.875,67.2297473934021,5.22383752098632,0,0,0,14.1747124512587
450,9,1,9.21754921042599,93.75,49.8580030650974,1.00207698011134,0,0,0,14.5886484017267
500,10,1,0,0,3.41184514120904,65536,0,0,0,24.5522193939472
500,10,1,0,4.5,8.96452371096994,-13.387933435271,0,0,0,26.8070060693115
500,10,1,0,5.25,6.74667527873873,-22.6818548646359,0,0,0,16.6988891185009
500,10,1,0,34.125,15.3704944498613,-6.53385037459967,0,0,0,13.8066955455694
500,10,1,0,69,-31.4249260333079,5.50110875341885,0,0,0,16.8205869808424
500,10,1,0,75,-11.5441795902133,3.45119391746009,0,0,0,15.8157719396226
500,10,1,-6.77207697092522,80.25,43.2876955796579,-3.48210083482057,0,0,0,14.3873016028375
500,10,1,-7.90075646607942,89.25,44.1315272609005,0.640980449609245,0,0,0,14.2568030008282
500,10,1,-7.52452996769468,89.25,44.2316488911312,3.54914257244779,0,0,0,17.7977549133412
500,10,1,-6.77207697092522,89.25,45.314292986141,-2.93159151905176,0,0,0,12.7967657818187
500,10,1,-6.20773722334811,89.25,-63.0453559880451,-3.61196536868594,0,0,0,12.3957591552603
500,10,1,0,91.875,66.9726227097988,2.71500217641245,0,0,0,15.1320316854689
500,10,1,6.96019022011758,93.75,49.8127478161766,0.691171843411311,0,0,0,13.9306548016097
500,10,1,8.27698296446415,93.75,49.2611792952506,4.23168468627095,0,0,0,15.9447456288981
500,10,1,8.65320946284888,93.75,49.3023155408506,4.95493298896646,0,0,0,16.647687873498
550,11,1,0,0,3.41184514120904,65536,0,0,0,24.8212792414942
550,11,1,0,4.5,9.10828228360396,-13.6570529139502,0,0,0,26.7681159123376
550,11,1,0,5.25,6.80972309939953,-22.9476519608563,0,0,0,16.5870579861632
550,11,1,0,28.875,-18.6492926076584,-9.19599847439096,0,0,0,12.7525905611053
550,11,1,0,34.125,15.4459091182506,-6.23849491536744,0,0,0,14.1235685175291
550,11,1,0,69,-6.8851680361781,6.13310064090548,0,0,0,17.4682656605493
550,11,1,0,75,-11.8164853424945,3.39131338339919,0,0,0,15.9439552162627
550,11,1,-6.96019022011758,80.25,45.4373962776105,-4.3350877178098,0,0,0,13.2711892309634
550,11,1,-6.58396372173285,80.25,-63.1221961227223,-4.95008510522096,0,0,0,12.787606642728
550,11,1,-6.20773722334811,80.25,44.1179676602385,-8.38057667980458,0,0,0,13.3093136800303
550,11,1,-7.71264321688705,89.25,44.2216726145817,1.2514271369336,0,0,0,12.8823120093491
550,11,1,-6.96019022011758,89.25,45.3193197978379,-0.271654212892926,0,0,0,15.3811219543086
550,11,1,0,91.875,-45.5527061379599,6.49631577081904,0,0,0,14.1200969164349
550,11,1,7.71264321688705,93.75,48.5269555410734,2.3089638464492,0,0,0,14.6065788131509
550,11,1,8.27698296446415,93.75,49.163593597153,3.64271277628295,0,0,0,13.9604372734347
600,12,1,0,0,3.41184514120904,65536,0,0,0,24.2297448591998
600,12,1,0,4.5,8.74930966956474,-13.3692096836975,0,0,0,26.5409481044052
600,12,1,0,5.25,6.97914732604388,-22.522639831821,0,0,0,16.7855415781108
600,12,1,0,34.125,15.8308667903231,-6.90008602010629,0,0,0,13.8644487184389
600,12,1,-3.38603848546261,48,64.5474139631185,-12.8852826379997,0,0,0,12.4178368356503
600,12,1,0,69,-7.74591538284326,6.13122066618436,0,0,0,17.44969010153
600,12,1,0,75,-11.9705284018883,2.36825379152287,0,0,0,16.1774920917937
600,12,1,-6.39585047254048,80.25,-64.188262420851,-5.11594861205664,0,0,0,12.5818984660426
